gender,birth_year,jan_1,jan_2,jan_3,jan_4,feb_1,feb_2,feb_3,feb_4,mar_1,mar_2,mar_3,mar_4,apr_1,apr_2,apr_3,apr_4,may_1,may_2,may_3,may_4,jun_1,jun_2,jun_3,jun_4,jul_1,jul_2,jul_3,jul_4,aug_1,aug_2,aug_3,aug_4,sep_1,sep_2,sep_3,sep_4,oct_1,oct_2,oct_3,oct_4,nov_1,nov_2,nov_3,nov_4,dec_1,dec_2,dec_3,dec_4,churn_1,churn_2,churn_3,churn_4,churn_5,churn_6,churn_7,churn_8,churn_9,churn_10,dec_churn
female,1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3511.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.87,1.0,8162.41,3.0,3348.02,1.0,6981.81,2.0,1824.55,1.0,1824.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
female,1979.0,100.0,0.0,104892.52,9.0,100.0,0.0,91016.26,15.0,100.0,0.0,123404.38,16.0,100.0,0.0,96933.51,11.0,100.0,0.0,115096.12,11.0,100.0,0.0,119832.69,6.0,1263.76,1.0,121165.15,15.0,3290.5,1.0,48494.17,4.0,1414.0,1.0,109341.4,7.0,799.29,1.0,93884.33,12.0,100.0,0.0,126035.72,11.0,7960.03,2.0,88277.52,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1956.0,4813.72,1.0,27496.17,4.0,4308.13,3.0,7774.36,5.0,100.0,0.0,18305.88,7.0,15871.77,4.0,39539.1,13.0,11825.05,4.0,23323.84,6.0,10460.7,3.0,45410.98,11.0,2378.79,1.0,14252.55,4.0,11657.62,2.0,34580.62,8.0,7587.72,3.0,19016.94,11.0,7549.67,6.0,24729.27,13.0,12291.27,6.0,57700.05,13.0,37494.43,3.0,52400.89,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1981.0,20040.39,4.0,48808.9,10.0,15836.72,2.0,71521.05,10.0,1405.99,1.0,27219.46,11.0,15308.37,1.0,17825.67,4.0,7277.11,4.0,49197.91,17.0,23142.07,2.0,29320.57,13.0,3130.0,3.0,42180.6,9.0,100.0,0.0,4561.0,9.0,6415.0,1.0,7622.5,2.0,23169.54,2.0,23474.04,3.0,100.0,0.0,10788.01,6.0,8606.71,2.0,27204.04,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1971.0,100.0,0.0,11267.49,2.0,24522.54,4.0,24522.54,4.0,4780.0,1.0,7741.34,3.0,19573.65,3.0,20000.65,4.0,1664.7,1.0,28499.27,2.0,2942.62,1.0,8200.24,3.0,100.0,0.0,2299.0,3.0,100.0,0.0,4380.99,2.0,100.0,0.0,5550.43,2.0,5375.26,3.0,7204.38,4.0,10516.96,2.0,10516.96,2.0,1082.08,1.0,1082.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1969.0,7052.02,3.0,9827.02,4.0,5041.69,1.0,9813.91,3.0,959.35,2.0,14145.32,10.0,7193.98,2.0,9366.18,3.0,1740.73,2.0,7850.47,5.0,5122.08,2.0,10263.18,6.0,1160.47,1.0,6939.97,5.0,3170.62,2.0,7044.94,5.0,100.0,0.0,5264.88,3.0,6591.72,5.0,20207.62,16.0,100.0,0.0,12791.81,8.0,8845.57,5.0,9909.15,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1962.0,100.0,0.0,3160.0,4.0,100.0,0.0,1460.49,3.0,100.0,0.0,4469.76,1.0,100.0,0.0,2735.4,3.0,572.13,2.0,7297.6,4.0,100.0,0.0,10468.66,4.0,865.0,1.0,865.0,1.0,100.0,0.0,1247.98,1.0,5491.0,3.0,9870.7,9.0,100.0,0.0,823.22,3.0,2009.13,1.0,2099.13,2.0,100.0,0.0,915.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1984.0,5463.7,2.0,8799.28,3.0,2064.81,1.0,2064.81,1.0,6407.5,3.0,7576.0,5.0,100.0,0.0,18812.29,10.0,100.0,0.0,13486.12,6.0,7813.02,2.0,11336.01,4.0,4954.12,2.0,8508.39,3.0,3991.12,3.0,7443.81,8.0,6226.41,1.0,8140.41,4.0,427.03,1.0,2873.53,4.0,1783.78,1.0,4121.11,2.0,2517.28,2.0,5532.34,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1963.0,0.0,0.0,0.0,0.0,460.0,1.0,460.0,1.0,2309.52,1.0,5411.93,3.0,100.0,0.0,6277.08,3.0,100.0,0.0,7756.16,2.0,2888.97,1.0,6188.68,4.0,0.0,0.0,0.0,0.0,6351.03,2.0,6351.03,2.0,0.0,0.0,0.0,0.0,100.0,0.0,3770.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
female,1972.0,596.35,1.0,5909.28,5.0,451.0,1.0,11021.01,5.0,1400.98,1.0,17069.07,13.0,3797.64,4.0,10806.61,7.0,2303.35,1.0,19550.44,8.0,4208.25,1.0,16646.74,12.0,1271.07,2.0,27617.94,12.0,10648.91,3.0,28664.92,11.0,18687.37,7.0,33168.67,14.0,4656.79,1.0,16328.81,6.0,11100.36,4.0,31267.18,11.0,1514.5,1.0,30641.02,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1965.0,2107.68,1.0,2107.68,1.0,100.0,0.0,437.5,1.0,0.0,0.0,0.0,0.0,100.0,0.0,7313.88,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5355.97,1.0,14581.12,4.0,4265.5,1.0,4265.5,1.0,100.0,0.0,6320.79,2.0,6892.06,2.0,7981.29,3.0,1412.5,1.0,6820.97,2.0,100.0,0.0,1862.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1989.0,100.0,0.0,2519.2,2.0,512.5,1.0,512.5,1.0,0.0,0.0,0.0,0.0,997.0,1.0,1285.95,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,839.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,1.0,535.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
female,1956.0,7969.74,5.0,16209.28,12.0,4768.32,2.0,13137.49,5.0,5422.51,2.0,33843.31,16.0,6475.91,3.0,14636.83,11.0,6529.2,3.0,21356.22,7.0,4422.22,2.0,9589.97,7.0,100.0,0.0,7245.27,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.25,1.0,1041.25,1.0,100.0,0.0,2492.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
female,1995.0,0.0,0.0,0.0,0.0,100.0,0.0,3997.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1.0,1300.0,1.0,100.0,0.0,6168.04,1.0,100.0,0.0,18992.95,2.0,100.0,0.0,28920.61,2.0,4985.5,1.0,30528.18,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1978.0218472853128,9390.43,1.0,16339.49,2.0,100.0,0.0,24966.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18663.52,3.0,38924.98,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
male,1964.0,100.0,0.0,23281.65,3.0,100.0,0.0,5420.86,2.0,3865.0,1.0,15535.22,4.0,100.0,0.0,12227.35,1.0,100.0,0.0,10229.19,4.0,100.0,0.0,8103.12,2.0,100.0,0.0,2542.78,2.0,0.0,0.0,0.0,0.0,4423.0,1.0,9513.19,6.0,824.86,1.0,15345.04,6.0,100.0,0.0,10381.57,4.0,9775.36,2.0,16857.61,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1965.0,730.0,1.0,1577.13,2.0,100.0,0.0,2215.44,1.0,100.0,0.0,7778.22,4.0,6002.93,2.0,8061.43,5.0,527.5,2.0,6132.03,3.0,4044.12,2.0,9426.18,3.0,181.0,1.0,5587.02,4.0,181.0,1.0,5091.87,3.0,100.0,0.0,3347.68,1.0,2478.73,3.0,13368.15,11.0,1641.85,1.0,3462.45,3.0,1507.48,2.0,10788.85,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1968.0,17137.82,1.0,24725.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12557.62,1.0,23852.61,2.0,8012.47,1.0,8012.47,1.0,0.0,0.0,0.0,0.0,100.0,0.0,3256.75,1.0,6754.0,1.0,18470.76,2.0,100.0,0.0,13910.68,1.0,100.0,0.0,6208.11,1.0,0.0,0.0,0.0,0.0,10080.96,1.0,24809.36,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11949.54,4.0,13208.64,5.0,273.13,1.0,2978.44,2.0,3821.14,1.0,3821.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
female,1992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4202.5,1.0,2007.91,1.0,2007.91,1.0,0.0,0.0,0.0,0.0,5999.05,3.0,8243.49,4.0,8639.4,7.0,13068.6,9.0,100.0,0.0,5641.9,4.0,2493.84,1.0,2493.84,1.0,988.0,2.0,988.0,2.0,0.0,0.0,0.0,0.0,4252.0,2.0,4252.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1243.0,2.0,625.0,1.0,7351.0,7.0,2569.6,5.0,10429.59,11.0,100.0,0.0,869.56,1.0,5863.35,2.0,9204.99,4.0,0.0,0.0,0.0,0.0,5734.08,2.0,5734.08,2.0,100.0,0.0,1900.63,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2254.32,1.0,2188.72,1.0,4741.57,3.0,0.0,0.0,0.0,0.0,100.0,0.0,3416.27,2.0,0.0,0.0,0.0,0.0,1044.75,1.0,1044.75,1.0,100.0,0.0,862.21,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108.0,1.0,1108.0,1.0,1027.0,2.0,1027.0,2.0,2668.63,3.0,16072.62,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
male,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,18319.75,1.0,14413.89,1.0,14413.89,1.0,100.0,0.0,33401.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4480.0,1.0,4480.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14999.05,2.0,14999.05,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
